waveform	Ch0		Gen	
t0	9/27/2018  10:14:16.889757		9/27/2018  10:14:16.889757	
delta t	2.000000E-7		2.000000E-7	

time[0]	Ch0	time[1]	Gen
9/27/2018  10:14:16.889757	1.888950E+0	9/27/2018  10:14:16.889757	1.898559E+0
9/27/2018  10:14:16.889757	1.846695E+0	9/27/2018  10:14:16.889757	1.856756E+0
9/27/2018  10:14:16.889757	1.804440E+0	9/27/2018  10:14:16.889757	1.773148E+0
9/27/2018  10:14:16.889757	1.762185E+0	9/27/2018  10:14:16.889757	1.773148E+0
9/27/2018  10:14:16.889757	1.719929E+0	9/27/2018  10:14:16.889757	1.731344E+0
9/27/2018  10:14:16.889758	1.677674E+0	9/27/2018  10:14:16.889758	1.647737E+0
9/27/2018  10:14:16.889758	1.635419E+0	9/27/2018  10:14:16.889758	1.605933E+0
9/27/2018  10:14:16.889758	1.550909E+0	9/27/2018  10:14:16.889758	1.564130E+0
9/27/2018  10:14:16.889758	1.508654E+0	9/27/2018  10:14:16.889758	1.522326E+0
9/27/2018  10:14:16.889758	1.508654E+0	9/27/2018  10:14:16.889758	1.480522E+0
9/27/2018  10:14:16.889759	1.424143E+0	9/27/2018  10:14:16.889759	1.438719E+0
9/27/2018  10:14:16.889759	1.381888E+0	9/27/2018  10:14:16.889759	1.396915E+0
9/27/2018  10:14:16.889759	1.339633E+0	9/27/2018  10:14:16.889759	1.313308E+0
9/27/2018  10:14:16.889759	1.297378E+0	9/27/2018  10:14:16.889759	1.271504E+0
9/27/2018  10:14:16.889759	1.255123E+0	9/27/2018  10:14:16.889759	1.229700E+0
9/27/2018  10:14:16.889760	1.212868E+0	9/27/2018  10:14:16.889760	1.187897E+0
9/27/2018  10:14:16.889760	1.128357E+0	9/27/2018  10:14:16.889760	1.104289E+0
9/27/2018  10:14:16.889760	1.086102E+0	9/27/2018  10:14:16.889760	1.104289E+0
9/27/2018  10:14:16.889760	1.086102E+0	9/27/2018  10:14:16.889760	1.062486E+0
9/27/2018  10:14:16.889760	1.001592E+0	9/27/2018  10:14:16.889760	9.788784E-1
9/27/2018  10:14:16.889761	9.593367E-1	9/27/2018  10:14:16.889761	9.370747E-1
9/27/2018  10:14:16.889761	9.170816E-1	9/27/2018  10:14:16.889761	8.952710E-1
9/27/2018  10:14:16.889761	8.325713E-1	9/27/2018  10:14:16.889761	8.534674E-1
9/27/2018  10:14:16.889761	7.903161E-1	9/27/2018  10:14:16.889761	8.116637E-1
9/27/2018  10:14:16.889761	7.480610E-1	9/27/2018  10:14:16.889761	7.280563E-1
