  Time                  V(D2:K)               V(R1:1)              
  0.000000000000e+000  5.924705170912e-013  0.000000000000e+000  
  1.250000000000e-007  2.299975224388e-003  4.712340533227e-002  
  2.500000000000e-007  6.685165271643e-003  9.424390387092e-002  
  5.000057220459e-007  2.243646363438e-002  1.884667105648e-001  
  1.000017166138e-006  6.575092640341e-002  3.767495758871e-001  
  2.000040054321e-006  2.057695130700e-001  7.520143824378e-001  
  4.000085830688e-006  6.067355337098e-001  1.492170663807e+000  
  8.000177383423e-006  1.627757950114e+000  2.890580644789e+000  
  1.176528358459e-005  2.637976738667e+000  4.042334806944e+000  
  1.466903114319e-005  3.245522501676e+000  4.779718386980e+000  
  1.758956336975e-005  3.653990330744e+000  5.361283220601e+000  
  2.154235267639e-005  3.966920427674e+000  5.858962836987e+000  
  2.538146400452e-005  4.078781697825e+000  5.998276674447e+000  
  3.202285194397e-005  3.862568197203e+000  5.425288639817e+000  
  4.452285194397e-005  2.226435642716e+000  2.024319760296e+000  
  5.702285194397e-005  -9.490264504514e-001  -2.562468180227e+000  
  6.903609657288e-005  -4.082621912288e+000  -5.583654034117e+000  
  7.597197914124e-005  -4.251889100498e+000  -5.988814384283e+000  
  8.221434974670e-005  -4.229210937565e+000  -5.394064639292e+000  
  9.250640296936e-005  -3.469135822650e+000  -2.721792010748e+000  
  1.050064029694e-004  6.160939567976e-002  1.856397535878e+000  
  1.175064029694e-004  3.586040137276e+000  5.347134583142e+000  
  1.190689029694e-004  3.768415589589e+000  5.588168938069e+000  
  1.221939029694e-004  3.989996857879e+000  5.906983278591e+000  
  1.250308933258e-004  4.073752481897e+000  5.999988696572e+000  
  1.286106052399e-004  4.036971848828e+000  5.846263285941e+000  
  1.357700290680e-004  3.525664756522e+000  4.677857667093e+000  
  1.468006076813e-004  1.774035359722e+000  1.198035406785e+000  
  1.593006076813e-004  -1.570060450910e+000  -3.310066300756e+000  
  1.718006076813e-004  -4.195318191233e+000  -5.879176061668e+000  
  1.782451572418e-004  -4.254160219244e+000  -5.875706815803e+000  
  1.842700901031e-004  -4.203200277858e+000  -5.010681990216e+000  
  1.930759372711e-004  -3.392620592114e+000  -2.528743672602e+000  
  2.055759372711e-004  2.560378783203e-001  2.059339515635e+000  
  2.180759372711e-004  3.527869946213e+000  5.441089545144e+000  
  2.195051136017e-004  3.777173472173e+000  5.645937335335e+000  
  2.223634662628e-004  3.999864639432e+000  5.917860085459e+000  
  2.250432910919e-004  4.078354927364e+000  5.999977803842e+000  
  2.281652393341e-004  4.048892901643e+000  5.881733381852e+000  
  2.344091358185e-004  3.666194864769e+000  4.981656626438e+000  
  2.461767139435e-004  1.901978864209e+000  1.427522062080e+000  
  2.586767139435e-004  -1.393841479195e+000  -3.111401329078e+000  
  2.711767139435e-004  -4.179530933393e+000  -5.827708019648e+000  
  2.770139636993e-004  -4.253570521265e+000  -5.952026138839e+000  
  2.831052722931e-004  -4.219432964719e+000  -5.238605979299e+000  
  2.919919910431e-004  -3.596913340861e+000  -2.893167516204e+000  
  3.044919910431e-004  -1.278092574634e-001  1.671047004288e+000  
  3.169919910431e-004  3.518721698868e+000  5.256384853032e+000  
  3.185544910431e-004  3.720332716555e+000  5.514653929681e+000  
  3.216794910431e-004  3.965084206566e+000  5.869888884682e+000  
  3.244691791534e-004  4.065580734552e+000  5.996663150088e+000  
  3.278814258575e-004  4.056192399988e+000  5.901936066041e+000  
  3.347059192657e-004  3.637086532100e+000  4.918434927362e+000  
  3.472059192657e-004  1.681044144468e+000  1.047941215510e+000  
  3.597059192657e-004  -1.684839750386e+000  -3.436422247818e+000  
  3.722059192657e-004  -4.204257084941e+000  -5.907776164415e+000  
  3.785001697540e-004  -4.253836325284e+000  -5.855486611057e+000  
  3.846700611115e-004  -4.196591138362e+000  -4.926164814560e+000  
  3.931692066193e-004  -3.381342393706e+000  -2.496814092207e+000  
  4.056692066193e-004  3.099606743683e-001  2.092329741887e+000  
  4.181692066193e-004  3.543313034548e+000  5.455815190140e+000  
  4.195877017975e-004  3.783110352176e+000  5.656398470727e+000  
  4.224246921539e-004  4.002507391728e+000  5.921622484032e+000  
  4.250869693756e-004  4.078930303417e+000  5.999910419679e+000  
  4.281948032379e-004  4.048135324222e+000  5.879521259335e+000  
  4.344104709625e-004  3.666056930324e+000  4.981376072624e+000  
  4.461444797516e-004  1.908574372765e+000  1.439322181427e+000  
  4.586444797516e-004  -1.384975220894e+000  -3.101004540855e+000  
  4.711444797516e-004  -4.178610439648e+000  -5.824804860084e+000  
  4.769733371735e-004  -4.253512433596e+000  -5.953939659700e+000  
  4.830608310699e-004  -4.219965634404e+000  -5.246753754491e+000  
  4.919704380035e-004  -3.600415097801e+000  -2.900283149037e+000  
  5.044704380035e-004  -1.358581143878e-001  1.663241656061e+000  
  5.169704380035e-004  3.515946688240e+000  5.252462056542e+000  
  5.185329380035e-004  3.718500511277e+000  5.511447476511e+000  
  5.216579380035e-004  3.963923279149e+000  5.868200561673e+000  
  5.244453372955e-004  4.065102599458e+000  5.996356699742e+000  
  5.278503360748e-004  4.056883415603e+000  5.904035185877e+000  
  5.346603336334e-004  3.641593700836e+000  4.928257441804e+000  
  5.471603336334e-004  1.691388876245e+000  1.064858122081e+000  
  5.596603336334e-004  -1.671590796953e+000  -3.422320643555e+000  
  5.721603336334e-004  -4.203318790051e+000  -5.904750390985e+000  
  5.784683170319e-004  -4.253879690425e+000  -5.858094513557e+000  
  5.846214237213e-004  -4.197431041341e+000  -4.936609532981e+000  
  5.931510868073e-004  -3.384214344474e+000  -2.503023925745e+000  
  6.056510868073e-004  2.764696262459e-001  2.085926186375e+000  
  6.181510868073e-004  3.685066590255e+000  5.452969028626e+000  
  6.195934238434e-004  3.816848698513e+000  5.657117621945e+000  
  6.224780979156e-004  4.001240522950e+000  5.924832770202e+000  
  6.252555789948e-004  4.074995009132e+000  5.999226390180e+000  
  6.287963809967e-004  4.031354800449e+000  5.830112909942e+000  
  6.358779850006e-004  3.513512635540e+000  4.652263904082e+000  
  6.467956485748e-004  1.774958709182e+000  1.199867240170e+000  
  6.592956485748e-004  -1.568570446356e+000  -3.308506837244e+000  
  6.717956485748e-004  -4.195215899364e+000  -5.878802480605e+000  
  6.782394351959e-004  -4.254163311998e+000  -5.876143238026e+000  
  6.842628421783e-004  -4.203312695658e+000  -5.012184503924e+000  
  6.930702152252e-004  -3.393725381326e+000  -2.530699726353e+000  
  7.055702152252e-004  2.541797801003e-001  2.057313261291e+000  
  7.180702152252e-004  3.527167384455e+000  5.440180042520e+000  
  7.195007266998e-004  3.776752730070e+000  5.645377408272e+000  
  7.223617496490e-004  3.999819724698e+000  5.917753335237e+000  
  7.250427188873e-004  4.078365914553e+000  5.999978386724e+000  
  7.281654300690e-004  4.048883556583e+000  5.881719175131e+000  
  7.344108524323e-004  3.666032370825e+000  4.981295907952e+000  
  7.461845340729e-004  1.900378384079e+000  1.424658426766e+000  
  7.586845340729e-004  -1.395998617691e+000  -3.113921704684e+000  
  7.711845340729e-004  -4.179753261656e+000  -5.828408733698e+000  
  7.770233097076e-004  -4.253583676771e+000  -5.951580451532e+000  
  7.831153812408e-004  -4.219310690794e+000  -5.236746918157e+000  
  7.919959964752e-004  -3.596301095829e+000  -2.891844556932e+000  
  8.044959964752e-004  -1.263105165848e-001  1.672497218479e+000  
  8.169959964752e-004  3.519233757530e+000  5.257112806336e+000  
  8.185584964752e-004  3.720695511497e+000  5.515248705007e+000  
  8.216834964752e-004  3.965294891648e+000  5.870201457756e+000  
  8.244735660553e-004  4.065663665177e+000  5.996718071123e+000  
  8.278873386383e-004  4.056060702405e+000  5.901534297815e+000  
  8.347148838043e-004  3.636197120142e+000  4.916498552970e+000  
  8.472148838043e-004  1.679003370162e+000  1.044613443893e+000  
  8.597148838043e-004  -1.687450400482e+000  -3.439192053179e+000  
  8.722148838043e-004  -4.204440071152e+000  -5.908365489104e+000  
  8.785060825348e-004  -4.253827778217e+000  -5.854999928131e+000  
  8.846790256500e-004  -4.196435314636e+000  -4.924234685543e+000  
  8.931720676422e-004  -3.380918368547e+000  -2.495833296125e+000  
  9.056720676422e-004  3.110267930304e-001  2.093340581897e+000  
  9.181720676422e-004  3.543694639215e+000  5.456263937710e+000  
  9.195894184113e-004  3.783221030721e+000  5.656614292866e+000  
  9.224241199493e-004  4.002466814979e+000  5.921587727018e+000  
  9.250852527618e-004  4.078910325297e+000  5.999913921068e+000  
  9.281923236847e-004  4.048200365343e+000  5.879707571703e+000  
  9.344064655304e-004  3.666441492734e+000  4.982217628889e+000  
  9.461297931671e-004  1.911567326241e+000  1.444696612252e+000  
  9.586297931671e-004  -1.380928692912e+000  -3.096263321991e+000  
  9.711297931671e-004  -4.178186395739e+000  -5.823474194890e+000  
  9.769578876495e-004  -4.253491149027e+000  -5.954657155471e+000  
  9.830423297882e-004  -4.220183841574e+000  -5.250133689853e+000  
  9.919641437531e-004  -3.601337073440e+000  -2.902360162832e+000  
  1.004464143753e-003  -1.382136613650e-001  1.660961641991e+000  
  1.016964143753e-003  3.515143318051e+000  5.251314643516e+000  
  1.018526643753e-003  3.718028972122e+000  5.510509171545e+000  
  1.021651643753e-003  3.963570929523e+000  5.867705481146e+000  
  1.024438280106e-003  4.064947685359e+000  5.996263409373e+000  
  1.027840990067e-003  4.057091795872e+000  5.904661805758e+000  
  1.034646409988e-003  3.642964475676e+000  4.931249567279e+000  
  1.047146409988e-003  1.694538376418e+000  1.070023475460e+000  
  1.059646409988e-003  -1.667553080234e+000  -3.418007856225e+000  
  1.072146409988e-003  -4.203029557481e+000  -5.903816542031e+000  
  1.078458971024e-003  -4.253892396047e+000  -5.858855254552e+000  
  1.084606737137e-003  -4.197682370699e+000  -4.939754370316e+000  
  1.093145555496e-003  -3.385095616964e+000  -2.504918913151e+000  
  1.105645555496e-003  2.747938196990e-001  2.083970877763e+000  
  1.118145555496e-003  3.684390974532e+000  5.452098792074e+000  
  1.119589418411e-003  3.816500295030e+000  5.656614292866e+000  
  1.122477144241e-003  4.001213404771e+000  5.924776028574e+000  
  1.125254243851e-003  4.074990698969e+000  5.999234451568e+000  
  1.128795808792e-003  4.031371050214e+000  5.830163875142e+000  
  1.135878938675e-003  3.513408571978e+000  4.652036855225e+000  
  1.146798128128e-003  1.774420091820e+000  1.198951338028e+000  
  1.159298128128e-003  -1.569273116565e+000  -3.309286609162e+000  
  1.171798128128e-003  -4.195273171367e+000  -5.878989342484e+000  
  1.178241151810e-003  -4.254161751118e+000  -5.876012391109e+000  
  1.184265321732e-003  -4.203273969636e+000  -5.011670603038e+000  
  1.193071168900e-003  -3.393571394803e+000  -2.530373740104e+000  
  1.205571168900e-003  2.544697931000e-001  2.057650988823e+000  
  1.218071168900e-003  3.527282448910e+000  5.440331675127e+000  
  1.219501298904e-003  3.776799840235e+000  5.645450466561e+000  
  1.222361558914e-003  3.999804735381e+000  5.917741469852e+000  
  1.225042146683e-003  4.078357238328e+000  5.999978961851e+000  
  1.228164476395e-003  4.048908682619e+000  5.881790200288e+000  
  1.234409135818e-003  3.666196966323e+000  4.981656626438e+000  
  1.246178239822e-003  1.901665994962e+000  1.426963331011e+000  
  1.258678239822e-003  -1.394262043505e+000  -3.111893168690e+000  
  1.271178239822e-003  -4.179574415864e+000  -5.827844854828e+000  
  1.277015489578e-003  -4.253572587329e+000  -5.951953513754e+000  
  1.283106798172e-003  -4.219414466411e+000  -5.238325501706e+000  
  1.291991991043e-003  -3.596944217267e+000  -2.893167516204e+000  
  1.304491991043e-003  -1.278072143740e-001  1.671047004288e+000  
  1.316991991043e-003  3.518719319771e+000  5.256384853032e+000  
  1.318554491043e-003  3.720331992552e+000  5.514653929681e+000  
  1.321679491043e-003  3.965084335580e+000  5.869888884682e+000  
  1.324469179153e-003  4.065580868161e+000  5.996663150088e+000  
  1.327881425858e-003  4.056192370018e+000  5.901936066041e+000  
  1.334705919266e-003  3.637086548161e+000  4.918434927363e+000  
  1.347205919266e-003  1.681044132302e+000  1.047941215510e+000  
  1.359705919266e-003  -1.684839743800e+000  -3.436422247818e+000  
  1.372205919266e-003  -4.204257085457e+000  -5.907776164415e+000  
  1.378500169754e-003  -4.253836325265e+000  -5.855486611057e+000  
  1.384670061111e-003  -4.196591138257e+000  -4.926164814560e+000  
  1.393169206619e-003  -3.381342394296e+000  -2.496814092207e+000  
  1.405669206619e-003  3.099606745995e-001  2.092329741887e+000  
  1.418169206619e-003  3.543313034618e+000  5.455815190140e+000  
  1.419587701797e-003  3.783110352190e+000  5.656398470726e+000  
  1.422424692154e-003  4.002507391726e+000  5.921622484032e+000  
  1.425086969376e-003  4.078930303414e+000  5.999910419679e+000  
  1.428194803238e-003  4.048135324223e+000  5.879521259335e+000  
  1.434410470963e-003  3.666056930324e+000  4.981376072624e+000  
  1.446144479752e-003  1.908574372765e+000  1.439322181427e+000  
  1.458644479752e-003  -1.384975220893e+000  -3.101004540854e+000  
  1.471144479752e-003  -4.178610439647e+000  -5.824804860084e+000  
  1.476973337173e-003  -4.253512433596e+000  -5.953939659700e+000  
  1.483060831070e-003  -4.219965634404e+000  -5.246753754491e+000  
  1.491970438004e-003  -3.600415097801e+000  -2.900283149037e+000  
  1.504470438004e-003  -1.358581143881e-001  1.663241656061e+000  
  1.516970438004e-003  3.515946688240e+000  5.252462056542e+000  
  1.518532938004e-003  3.718500511277e+000  5.511447476510e+000  
  1.521657938004e-003  3.963923279149e+000  5.868200561673e+000  
  1.524445337296e-003  4.065102599458e+000  5.996356699742e+000  
  1.527850336075e-003  4.056883415603e+000  5.904035185877e+000  
  1.534660333633e-003  3.641593700836e+000  4.928257441805e+000  
  1.547160333633e-003  1.691388876245e+000  1.064858122081e+000  
  1.559660333633e-003  -1.671590796953e+000  -3.422320643554e+000  
  1.572160333633e-003  -4.203318790051e+000  -5.904750390985e+000  
  1.578468317032e-003  -4.253879690425e+000  -5.858094513557e+000  
  1.584621423721e-003  -4.197431041341e+000  -4.936609532982e+000  
  1.593151086807e-003  -3.384214344475e+000  -2.503023925745e+000  
  1.605651086807e-003  2.764696262455e-001  2.085926186375e+000  
  1.618151086807e-003  3.685066590255e+000  5.452969028625e+000  
  1.619593423843e-003  3.816848698513e+000  5.657117621945e+000  
  1.622478097916e-003  4.001240522950e+000  5.924832770202e+000  
  1.625255578995e-003  4.074995009132e+000  5.999226390180e+000  
  1.628796380997e-003  4.031354800450e+000  5.830112909942e+000  
  1.635877985001e-003  3.513512635540e+000  4.652263904082e+000  
  1.646795648575e-003  1.774958709182e+000  1.199867240171e+000  
  1.659295648575e-003  -1.568570446355e+000  -3.308506837244e+000  
  1.671795648575e-003  -4.195215899364e+000  -5.878802480605e+000  
  1.678239435196e-003  -4.254163311998e+000  -5.876143238026e+000  
  1.684262842178e-003  -4.203312695658e+000  -5.012184503924e+000  
  1.693070215225e-003  -3.393725381326e+000  -2.530699726353e+000  
  1.705570215225e-003  2.541797800998e-001  2.057313261290e+000  
  1.718070215225e-003  3.527167384455e+000  5.440180042520e+000  
  1.719500726700e-003  3.776752730069e+000  5.645377408272e+000  
  1.722361749649e-003  3.999819724698e+000  5.917753335237e+000  
  1.725042718887e-003  4.078365914553e+000  5.999978386724e+000  
  1.728165430069e-003  4.048883556583e+000  5.881719175131e+000  
  1.734410852432e-003  3.666032370825e+000  4.981295907953e+000  
  1.746184534073e-003  1.900378384078e+000  1.424658426767e+000  
  1.758684534073e-003  -1.395998617687e+000  -3.113921704683e+000  
  1.771184534073e-003  -4.179753261655e+000  -5.828408733698e+000  
  1.777023309708e-003  -4.253583676771e+000  -5.951580451532e+000  
  1.783115381241e-003  -4.219310690794e+000  -5.236746918157e+000  
  1.791995996475e-003  -3.596301095830e+000  -2.891844556933e+000  
