  Time                  V(C1:B)               V(V3:+)              
  0.000000000000e+000  4.841800492739e+000  0.000000000000e+000  
  1.250000000000e-007  4.873105953129e+000  3.141560355485e-002  
  1.938791275024e-007  4.890360485289e+000  4.872593426949e-002  
  3.316373825073e-007  4.924872452336e+000  8.334353360741e-002  
  6.071538925171e-007  4.993887879983e+000  1.525574071769e-001  
  1.084563255310e-006  5.113375506012e+000  2.723695591363e-001  
  1.650568962097e-006  5.254722245899e+000  4.140900087375e-001  
  2.782580375671e-006  5.535680189027e+000  6.957813661125e-001  
  5.046603202820e-006  6.085661269438e+000  1.247202066336e+000  
  9.574648857117e-006  7.099479289334e+000  2.263825833998e+000  
  1.863074016571e-005  8.514400098754e+000  3.683944214452e+000  
  3.113074016571e-005  8.531938996950e+000  3.706884544041e+000  
  4.363074016571e-005  6.381146712663e+000  1.558382181883e+000  
  5.406927776337e-005  4.351549457181e+000  -1.011614461229e+000  
  6.391730022430e-005  4.217730102162e+000  -3.068762743112e+000  
  6.997046184540e-005  4.291094541936e+000  -3.801925450386e+000  
  7.232832622528e-005  4.339166594486e+000  -3.943774087392e+000  
  7.704405498505e-005  4.495660364972e+000  -3.967055885793e+000  
  8.145842266083e-005  4.808876377354e+000  -3.675155978361e+000  
  8.260893535614e-005  4.933307008773e+000  -3.551513156967e+000  
  8.309359264374e-005  4.990896007840e+000  -3.493834176597e+000  
  8.361134243011e-005  5.055898389908e+000  -3.428639259777e+000  
  8.464684200287e-005  5.196600658840e+000  -3.287437857424e+000  
  8.671784114838e-005  5.519018384102e+000  -2.963957893632e+000  
  9.085983943939e-005  6.307665202762e+000  -2.172966140382e+000  
  9.914383602142e-005  8.260172664224e+000  -2.150737109218e-001  
  1.116438360214e-004  1.113850112706e+001  2.672255532592e+000  
  1.241438360214e-004  1.245196954033e+001  3.994213727240e+000  
  1.366438360214e-004  1.142781662139e+001  2.976415691487e+000  
  1.491438360214e-004  8.663020347346e+000  2.150737109218e-001  
  1.616438360214e-004  5.774469247568e+000  -2.672255532592e+000  
  1.741438360214e-004  4.521160475821e+000  -3.994213727240e+000  
  1.802557439804e-004  4.735635588372e+000  -3.783873575284e+000  
  1.825270147324e-004  4.958155443725e+000  -3.560938576126e+000  
  1.848131628036e-004  5.254875491088e+000  -3.263445175691e+000  
  1.871298284531e-004  5.623677959980e+000  -2.893441348083e+000  
  1.900007696152e-004  6.164518702100e+000  -2.350984521993e+000  
  1.957426519394e-004  7.454634327134e+000  -1.057273402099e+000  
  2.072264165878e-004  1.025823426308e+001  1.754431998135e+000  
  2.197264165878e-004  1.227732651615e+001  3.782417371673e+000  
  2.322264165878e-004  1.208234610673e+001  3.594713947440e+000  
  2.447264165878e-004  9.784401920789e+000  1.301275845649e+000  
  2.572264165878e-004  6.726832743886e+000  -1.754431998135e+000  
  2.697264165878e-004  4.706378769171e+000  -3.782417371673e+000  
  2.775312871933e-004  4.573312378450e+000  -3.949515633621e+000  
  2.824186773300e-004  4.950277230592e+000  -3.573258468261e+000  
  2.841265172958e-004  5.162965813835e+000  -3.360167346735e+000  
  2.859394521713e-004  5.430646632117e+000  -3.091730535171e+000  
  2.877947301865e-004  5.745871426523e+000  -2.775567083415e+000  
  2.915052862167e-004  6.484264746528e+000  -2.035021993664e+000  
  2.989263982773e-004  8.244815556413e+000  -2.696209552791e-001  
  3.114263982773e-004  1.113676903469e+001  2.631343572309e+000  
  3.239263982773e-004  1.248779365263e+001  3.990902722502e+000  
  3.364263982773e-004  1.150311080774e+001  3.012645183965e+000  
  3.489263982773e-004  8.756556639010e+000  2.696209552791e-001  
  3.614263982773e-004  5.854313111753e+000  -2.631343572309e+000  
  3.739263982773e-004  4.546093768230e+000  -3.990902722502e+000  
  3.800360174179e-004  4.739188640546e+000  -3.801419053528e+000  
  3.838194341660e-004  5.138694591323e+000  -3.401410259332e+000  
  3.873346776962e-004  5.680660388624e+000  -2.857654309412e+000  
  3.909479589462e-004  6.381907878052e+000  -2.154338957174e+000  
  3.974413366318e-004  7.891780905292e+000  -6.402957694990e-001  
  4.099413366318e-004  1.086231781742e+001  2.339197150820e+000  
  4.224413366318e-004  1.246284725333e+001  3.948420105252e+000  
  4.349413366318e-004  1.175238898737e+001  3.244712111975e+000  
  4.474413366318e-004  9.144090580106e+000  6.402957694990e-001  
  4.599413366318e-004  6.163123755588e+000  -2.339197150820e+000  
  4.724413366318e-004  4.586122899460e+000  -3.948420105252e+000  
  4.786303014755e-004  4.649635585275e+000  -3.896392472712e+000  
  4.837778539658e-004  5.139352658436e+000  -3.406897703184e+000  
  4.874063940048e-004  5.700153099593e+000  -2.845013328631e+000  
  4.909574956894e-004  6.390812544286e+000  -2.152319057623e+000  
  4.960813970566e-004  7.564944880311e+000  -9.749320178922e-001  
  5.063291997910e-004  1.008174575984e+001  1.549104595255e+000  
  5.188291997910e-004  1.222677263690e+001  3.703089685931e+000  
  5.313291997910e-004  1.220407893047e+001  3.687855061274e+000  
  5.438291997910e-004  1.002381206024e+001  1.512324957788e+000  
  5.563291997910e-004  6.960431320737e+000  -1.549104595255e+000  
  5.688291997910e-004  4.808159377881e+000  -3.703089685932e+000  
  5.754148931503e-004  4.551336741725e+000  -3.998640943013e+000  
  5.794180364609e-004  4.707645261212e+000  -3.846870908876e+000  
  5.808372945786e-004  4.820526999910e+000  -3.733964810123e+000  
  5.829887838364e-004  5.047164185529e+000  -3.506583879219e+000  
  5.846409292221e-004  5.264751277336e+000  -3.288284215304e+000  
  5.862991781235e-004  5.518607931122e+000  -3.033582299950e+000  
  5.896156759262e-004  6.121762923061e+000  -2.428591856344e+000  
  5.962486715317e-004  7.612091537350e+000  -9.341061075312e-001  
  6.087486715317e-004  1.062701325121e+001  2.089709571654e+000  
  6.212486715317e-004  1.241790227495e+001  3.889401725185e+000  
  6.337486715317e-004  1.193223453122e+001  3.410735097620e+000  
  6.462486715317e-004  9.451436278181e+000  9.341061075312e-001  
  6.587486715317e-004  6.425969804654e+000  -2.089709571654e+000  
  6.712486715317e-004  4.642717860723e+000  -3.889401725185e+000  
  6.778412313461e-004  4.614141962896e+000  -3.936430436225e+000  
  6.838867635727e-004  5.159219801028e+000  -3.392475410871e+000  
  6.859745473862e-004  5.464924419262e+000  -3.086126590853e+000  
  6.888615102768e-004  5.973061618633e+000  -2.576417780342e+000  
  6.925404043198e-004  6.740378575784e+000  -1.806908241194e+000  
  6.998981924057e-004  8.516797050375e+000  -2.558686472939e-002  
  7.123981924057e-004  1.134360917744e+001  2.810276611835e+000  
  7.248981924057e-004  1.252481232483e+001  3.999918163207e+000  
  7.373981924057e-004  1.136512642399e+001  2.846461902954e+000  
  7.498981924057e-004  8.540920468951e+000  2.558686472938e-002  
  7.623981924057e-004  5.703855168582e+000  -2.810276611835e+000  
  7.748981924057e-004  4.558436566826e+000  -3.999918163207e+000  
  7.810169668198e-004  4.841079248794e+000  -3.717534063889e+000  
  7.833111257553e-004  5.091076945717e+000  -3.466888928518e+000  
  7.857540578842e-004  5.435858230313e+000  -3.121083869457e+000  
  7.882160634995e-004  5.857267588734e+000  -2.698352370789e+000  
  7.931400747299e-004  6.881488687569e+000  -1.671197523914e+000  
  8.029880971909e-004  9.292551178737e+000  7.465865345134e-001  
  8.154880971909e-004  1.184353411383e+001  3.306639898380e+000  
  8.279880971909e-004  1.245858055596e+001  3.929708455660e+000  
  8.404880971909e-004  1.077414882582e+001  2.250807095786e+000  
  8.529880971909e-004  7.774079909460e+000  -7.465865345134e-001  
  8.654880971909e-004  5.213066917508e+000  -3.306639898380e+000  
  8.779880971909e-004  4.612458737941e+000  -3.929708455660e+000  
  8.846729726791e-004  5.256506037203e+000  -3.283692069757e+000  
  8.888767690659e-004  5.964994169682e+000  -2.573483097913e+000  
  8.927837820053e-004  6.784013945174e+000  -1.752128157953e+000  
  8.989208669662e-004  8.261075700529e+000  -2.710079473661e-001  
  9.111950368881e-004  1.111050058005e+001  2.587272675532e+000  
  9.236950368881e-004  1.250122077418e+001  3.986561744936e+000  
  9.361950368881e-004  1.155875034937e+001  3.050577011394e+000  
  9.486950368881e-004  8.832184678442e+000  3.276056376406e-001  
  9.611950368881e-004  5.915986368253e+000  -2.587272675532e+000  
  9.736950368881e-004  4.560217883018e+000  -3.986561744936e+000  
  9.797779531479e-004  4.729632176288e+000  -3.821100414832e+000  
  9.836285085678e-004  5.123722915096e+000  -3.426415172566e+000  
  9.872467489243e-004  5.675233031488e+000  -2.873073750646e+000  
  9.921188802719e-004  6.644697758699e+000  -1.900779005163e+000  
  9.982902975082e-004  8.112569529588e+000  -4.288691423200e-001  
  1.010633131981e-003  1.101053394326e+001  2.477980496586e+000  
  1.023133131981e-003  1.249643516348e+001  3.972513531018e+000  
  1.035633131981e-003  1.165731269914e+001  3.140002015690e+000  
  1.048133131981e-003  8.981701659638e+000  4.681199054502e-001  
  1.060633131981e-003  6.034207231405e+000  -2.477980496586e+000  
  1.073133131981e-003  4.575917067631e+000  -3.972513531018e+000  
  1.079238173485e-003  4.695675997126e+000  -3.859012925671e+000  
  1.081734129906e-003  4.906855461615e+000  -3.647252655794e+000  
  1.084229323387e-003  5.207208798160e+000  -3.346079675094e+000  
  1.086548277855e-003  5.559704858580e+000  -2.992406427147e+000  
  1.089071700096e-003  6.014935636219e+000  -2.535785329914e+000  
  1.094118544579e-003  7.102892198005e+000  -1.444756323468e+000  
  1.104212233543e-003  9.586987065835e+000  1.046333902973e+000  
  1.116712233543e-003  1.200142241670e+001  3.469813512203e+000  
  1.129212233543e-003  1.238450495306e+001  3.860723424889e+000  
  1.141712233543e-003  1.050861419764e+001  1.990073915847e+000  
  1.154212233543e-003  7.469777279554e+000  -1.046333902973e+000  
  1.166712233543e-003  5.045533345686e+000  -3.469813512203e+000  
  1.179212233543e-003  4.665613354656e+000  -3.860723424889e+000  
  1.187192580223e-003  5.641025807499e+000  -2.882529306459e+000  
  1.193653914452e-003  6.967219725605e+000  -1.553016402010e+000  
  1.200119063377e-003  8.545817398801e+000  2.992361142107e-002  
  1.212619063377e-003  1.135637082441e+001  2.849507167275e+000  
  1.225119063377e-003  1.249835413175e+001  3.999888070619e+000  
  1.237619063377e-003  1.129948998333e+001  2.807188790168e+000  
  1.250119063377e-003  8.459113652843e+000  -2.992361142097e-002  
  1.262619063377e-003  5.638372202115e+000  -2.849507167275e+000  
  1.275119063377e-003  4.541772689549e+000  -3.999888070619e+000  
  1.281240889549e-003  4.845632670039e+000  -3.696393757093e+000  
  1.283508345604e-003  5.099554132675e+000  -3.441899931018e+000  
  1.285648390770e-003  5.402946554708e+000  -3.137624838897e+000  
  1.287819334984e-003  5.768364613884e+000  -2.771110898708e+000  
  1.292161223412e-003  6.645525410145e+000  -1.891408606591e+000  
  1.300845000267e-003  8.743409110292e+000  2.122719702109e-001  
  1.313345000267e-003  1.149661455067e+001  2.974540541364e+000  
  1.325845000267e-003  1.250812303089e+001  3.994363605215e+000  
  1.338345000267e-003  1.118209030912e+001  2.674342642180e+000  
  1.350845000267e-003  8.292360327295e+000  -2.122719702108e-001  
  1.363345000267e-003  5.528984578596e+000  -2.974540541364e+000  
  1.375845000267e-003  4.555020637217e+000  -3.994363605215e+000  
  1.381987425804e-003  4.928022509135e+000  -3.620652644942e+000  
  1.384275862694e-003  5.208353167442e+000  -3.339656382471e+000  
  1.386656233788e-003  5.572618385632e+000  -2.974333169416e+000  
  1.389085814476e-003  6.012622726842e+000  -2.533040909091e+000  
  1.393944975853e-003  7.057363990444e+000  -1.485347335101e+000  
  1.403663298607e-003  9.448597272716e+000  9.125793393255e-001  
  1.416163298607e-003  1.192608778950e+001  3.399124635255e+000  
  1.428663298607e-003  1.241355940480e+001  3.894508820049e+000  
  1.441163298607e-003  1.062222619696e+001  2.108542556839e+000  
  1.453663298607e-003  7.598571307337e+000  -9.125793393255e-001  
  1.466163298607e-003  5.111158840747e+000  -3.399124635255e+000  
  1.478663298607e-003  4.632945876479e+000  -3.894508820049e+000  
  1.485120055199e-003  5.306946839557e+000  -3.218240738119e+000  
  1.489384123802e-003  6.048721396392e+000  -2.474574610336e+000  
  1.493513915062e-003  6.935411080141e+000  -1.585381350790e+000  
  1.500385710716e-003  8.613103454570e+000  9.693018719989e-002  
  1.512885710716e-003  1.140326041654e+001  2.896136546178e+000  
  1.525385710716e-003  1.249758438852e+001  3.998825394889e+000  
  1.537885710716e-003  1.125170988344e+001  2.759056560836e+000  
  1.550385710716e-003  8.392517775686e+000  -9.693018719979e-002  
  1.562885710716e-003  5.592177800067e+000  -2.896136546178e+000  
  1.575385710716e-003  4.542658772121e+000  -3.998825394889e+000  
  1.581504485130e-003  4.870889248665e+000  -3.670570677496e+000  
  1.583770415306e-003  5.132998011808e+000  -3.407876950786e+000  
  1.585915419579e-003  5.444411592963e+000  -3.095559348342e+000  
  1.588102766991e-003  5.819549273506e+000  -2.719303552914e+000  
  1.592477461815e-003  6.715265357162e+000  -1.821007250573e+000  
  1.601226851463e-003  8.838437522467e+000  3.080361257040e-001  
  1.613726851463e-003  1.155917694684e+001  3.037842247495e+000  
  1.626226851463e-003  1.250119225694e+001  3.988121581053e+000  
  1.638726851463e-003  1.110935896828e+001  2.602213380823e+000  
  1.651226851463e-003  8.196077040255e+000  -3.080361257039e-001  
  1.663726851463e-003  5.465195133104e+000  -3.037842247495e+000  
  1.676226851463e-003  4.558723745131e+000  -3.988121581053e+000  
  1.682381484032e-003  4.968399713588e+000  -3.577449859402e+000  
  1.684680602074e-003  5.262553338732e+000  -3.282596739178e+000  
  1.687176177025e-003  5.658625029030e+000  -2.885386026951e+000  
  1.689723631859e-003  6.135603917419e+000  -2.406977142323e+000  
  1.694818541527e-003  7.260072896733e+000  -1.279360096674e+000  
  1.705008360863e-003  9.770395462555e+000  1.238066275216e+000  
  1.717508360863e-003  1.208829332882e+001  3.564979581518e+000  
  1.730008360863e-003  1.231919942391e+001  3.803576198550e+000  
  1.742508360863e-003  1.032466399184e+001  1.814089463991e+000  
  1.755008360863e-003  7.270236193490e+000  -1.238066275216e+000  
  1.767508360863e-003  4.942969049912e+000  -3.564979581518e+000  
  1.776074645042e-003  4.559657681624e+000  -3.990885039273e+000  
  1.780820128441e-003  4.816626737851e+000  -3.735509754687e+000  
  1.782517287254e-003  4.989755381800e+000  -3.562051514535e+000  
  1.784012267113e-003  5.175594516621e+000  -3.375658711907e+000  
  1.785464522362e-003  5.384456511094e+000  -3.166077180009e+000  
  1.788369032860e-003  5.879129600163e+000  -2.669848002036e+000  
  1.794178053856e-003  7.114667836859e+000  -1.430799605732e+000  
  1.805796095848e-003  9.962102553232e+000  1.424730689351e+000  
  1.818296095848e-003  1.217875096432e+001  3.650365264968e+000  
  1.830796095848e-003  1.225849404621e+001  3.737665375983e+000  
  1.843296095848e-003  1.015145462810e+001  1.635491801359e+000  
  1.855796095848e-003  7.089190403715e+000  -1.424730689351e+000  
  1.868296095848e-003  4.864024926821e+000  -3.650365264968e+000  
  1.875137373924e-003  4.553423873885e+000  -3.999850996783e+000  
  1.879223677635e-003  4.698388529235e+000  -3.859970056835e+000  
  1.880690428734e-003  4.811315577886e+000  -3.747042087385e+000  
  1.883083388329e-003  5.062485542718e+000  -3.495082170088e+000  
  1.884856459618e-003  5.299666226923e+000  -3.257140803864e+000  
  1.886598631859e-003  5.571916991722e+000  -2.983993579773e+000  
  1.890082976341e-003  6.219722476046e+000  -2.334237706512e+000  
  1.897051665306e-003  7.812760180837e+000  -7.367664222335e-001  
  1.909551665306e-003  1.079964489910e+001  2.259061211004e+000  
  1.922051665306e-003  1.246340733167e+001  3.931561425066e+000  
  1.934551665306e-003  1.182601141456e+001  3.301006277628e+000  
  1.947051665306e-003  9.257787561932e+000  7.367664222335e-001  
  1.959551665306e-003  6.260419876289e+000  -2.259061211004e+000  
  1.972051665306e-003  4.611711561194e+000  -3.931561425066e+000  
  1.978235289574e-003  4.638633260000e+000  -3.917639300960e+000  
  1.985828063011e-003  5.452048753175e+000  -3.109417258333e+000  
  1.991693541527e-003  6.566352091985e+000  -1.994147678915e+000  
  1.996983763695e-003  7.803556138921e+000  -7.535332170546e-001  
  2.007564208031e-003  1.037987428995e+001  1.830325566513e+000  
  2.020064208031e-003  1.234983567264e+001  3.809181774410e+000  
  2.032564208031e-003  1.209008564497e+001  3.556670960402e+000  
  2.045064208031e-003  9.749669481375e+000  1.220710534690e+000  
  2.057564208031e-003  6.696859101799e+000  -1.830325566513e+000  
  2.070064208031e-003  4.723930090382e+000  -3.809181774410e+000  
  2.077682921410e-003  4.610972503880e+000  -3.943300797340e+000  
  2.082867857933e-003  5.033141548474e+000  -3.521105204582e+000  
  2.084697386742e-003  5.273482434245e+000  -3.280184357041e+000  
  2.087254378319e-003  5.680600812758e+000  -2.871739305822e+000  
  2.089907881737e-003  6.181012268568e+000  -2.369831758343e+000  
  2.095214888573e-003  7.362945746106e+000  -1.184592793142e+000  
  2.105828902245e-003  9.972525184398e+000  1.432432056992e+000  
  2.118328902245e-003  1.218483581817e+001  3.653728725031e+000  
  2.130828902245e-003  1.225827497911e+001  3.734720659179e+000  
  2.143328902245e-003  1.014665839093e+001  1.627963882855e+000  
  2.155828902245e-003  7.084134192187e+000  -1.432432056992e+000  
  2.168328902245e-003  4.863314847857e+000  -3.653728725031e+000  
  2.175561568260e-003  4.557921655517e+000  -3.997510284166e+000  
  2.179803511620e-003  4.739525252079e+000  -3.819195927141e+000  
  2.181312415123e-003  4.869063119749e+000  -3.689486714117e+000  
  2.182962843895e-003  5.048341778728e+000  -3.509715947161e+000  
  2.184717223167e-003  5.279999748435e+000  -3.277328656664e+000  
  2.186471793175e-003  5.551302243321e+000  -3.005127701822e+000  
  2.189980933189e-003  6.199456051056e+000  -2.355016140335e+000  
  2.196999213219e-003  7.800294102589e+000  -7.497194946250e-001  
  2.209499213219e-003  1.078924333183e+001  2.248169961987e+000  
  2.221999213219e-003  1.246144267804e+001  3.929111945387e+000  
  2.234499213219e-003  1.183391238690e+001  3.308433439261e+000  
  2.246999213219e-003  9.271201926998e+000  7.497194946251e-001  
  2.259499213219e-003  6.271764872634e+000  -2.248169961987e+000  
  2.271999213219e-003  4.613982032539e+000  -3.929111945387e+000  
  2.278191992760e-003  4.636612493635e+000  -3.919821617630e+000  
  2.285864111900e-003  5.458191166263e+000  -3.103709929642e+000  
  2.291606757164e-003  6.547956812711e+000  -2.013025457975e+000  
  2.296803137779e-003  7.759573473930e+000  -7.980671831089e-001  
  2.307195899010e-003  1.029778377519e+001  1.747535999419e+000  
  2.319695899010e-003  1.232124458386e+001  3.779915254586e+000  
  2.332195899010e-003  1.213209144111e+001  3.598071418237e+000  
  2.344695899010e-003  9.838003048448e+000  1.308526143472e+000  
  2.357195899010e-003  6.780111321109e+000  -1.747535999419e+000  
  2.369695899010e-003  4.753145184393e+000  -3.779915254586e+000  
  2.377606055260e-003  4.609027505113e+000  -3.946495981370e+000  
  2.382676550865e-003  5.011736436518e+000  -3.543662727266e+000  
  2.384486052513e-003  5.244538377236e+000  -3.310291345562e+000  
  2.387012526512e-003  5.639811230285e+000  -2.913718477308e+000  
  2.389521071434e-003  6.104686872744e+000  -2.447441541334e+000  
  2.394538161278e-003  7.203115994961e+000  -1.345923830590e+000  
  2.404572340965e-003  9.675480102914e+000  1.133412192675e+000  
  2.417072340965e-003  1.204698260844e+001  3.513949373719e+000  
  2.429572340965e-003  1.236132681704e+001  3.836062669130e+000  
  2.442072340965e-003  1.043116912007e+001  1.911062479079e+000  
  2.454572340965e-003  7.384333277274e+000  -1.133412192675e+000  
  2.467072340965e-003  5.003146214027e+000  -3.513949373719e+000  
  2.476580092430e-003  4.575076041898e+000  -3.980303096022e+000  
  2.481713149071e-003  4.906368259179e+000  -3.649414632253e+000  
  2.483580252647e-003  5.122648181706e+000  -3.432657173467e+000  
  2.485539099693e-003  5.399902231548e+000  -3.154587587559e+000  
  2.487528845787e-003  5.730192927103e+000  -2.823296143775e+000  
  2.491508337975e-003  6.516825834332e+000  -2.034361645750e+000  
  2.499467322350e-003  8.412104517209e+000  -1.338515025267e-001  
  2.511967322350e-003  1.126910993099e+001  2.732195790579e+000  
  2.524467322350e-003  1.252618324305e+001  3.997759844622e+000  
  2.536967322350e-003  1.144358733282e+001  2.921490400796e+000  
  2.549467322350e-003  8.652519038515e+000  1.338515025269e-001  
  2.561967322350e-003  5.785223976537e+000  -2.732195790579e+000  
  2.574467322350e-003  4.562090677225e+000  -3.997759844622e+000  
  2.580576178551e-003  4.803869438007e+000  -3.756994595246e+000  
  2.584347769737e-003  5.230376563539e+000  -3.329675741857e+000  
  2.587811896324e-003  5.785791140766e+000  -2.772458816304e+000  
  2.591271063805e-003  6.470767671625e+000  -2.085478628193e+000  
  2.598189398766e-003  8.097683480488e+000  -4.540727980711e-001  
  2.610689398766e-003  1.103182297515e+001  2.489065982397e+000  
  2.623189398766e-003  1.250826913590e+001  3.974143668019e+000  
  2.635689398766e-003  1.165874229774e+001  3.131221891734e+000  
  2.648189398766e-003  8.977870360208e+000  4.540727980711e-001  
  2.660689398766e-003  6.033335992781e+000  -2.489065982397e+000  
  2.673189398766e-003  4.581977049102e+000  -3.974143668019e+000  
  2.679286047935e-003  4.705688584820e+000  -3.855829133328e+000  
  2.681779334068e-003  4.918324467717e+000  -3.642573044776e+000  
  2.684431693077e-003  5.242054641446e+000  -3.317941309309e+000  
  2.686893698692e-003  5.624634980384e+000  -2.934097991267e+000  
  2.689705893517e-003  6.146624381235e+000  -2.410536306506e+000  
  2.695330283165e-003  7.396804213521e+000  -1.156861038978e+000  
  2.706579062462e-003  1.015254066925e+001  1.606808188351e+000  
  2.719079062462e-003  1.226315570409e+001  3.726374866987e+000  
  2.731579062462e-003  1.219244145803e+001  3.663081687029e+000  
  2.744079062462e-003  9.978678692527e+000  1.454004934890e+000  
  2.756579062462e-003  6.915863967481e+000  -1.606808188351e+000  
  2.769079062462e-003  4.799081358845e+000  -3.726374866987e+000  
  2.776681754112e-003  4.578898807611e+000  -3.977689433782e+000  
  2.781199118614e-003  4.856969491301e+000  -3.700392948967e+000  
  2.782797095299e-003  5.027476549260e+000  -3.529508475445e+000  
  2.784356162071e-003  5.227868191955e+000  -3.328506459425e+000  
  2.785911414146e-003  5.459395048369e+000  -3.096196797883e+000  
  2.789021918297e-003  6.008446810758e+000  -2.545449040199e+000  
  2.795242926598e-003  7.372201936512e+000  -1.177860336116e+000  
  2.807684943199e-003  1.039853194251e+001  1.857253599546e+000  
  2.820184943199e-003  1.235072809115e+001  3.818332409108e+000  
  2.832684943199e-003  1.206786817533e+001  3.542683879063e+000  
  2.845184943199e-003  9.712541540620e+000  1.191779179863e+000  
  2.857684943199e-003  6.661692682059e+000  -1.857253599546e+000  
  2.870184943199e-003  4.707931975308e+000  -3.818332409108e+000  
  2.878023383141e-003  4.618108486852e+000  -3.928043555602e+000  
  2.883780524254e-003  5.139626865833e+000  -3.406545996862e+000  
  2.885806128502e-003  5.432599181530e+000  -3.112882167216e+000  
  2.888658759117e-003  5.928751054043e+000  -2.615186533133e+000  
  2.892137000084e-003  6.645107239661e+000  -1.896770792887e+000  
