waveform	Ch0		Gen	
t0	9/27/2018  09:52:11.100188		9/27/2018  09:52:11.100188	
delta t	2.000000E-7		2.000000E-7	

time[0]	Ch0	time[1]	Gen
9/27/2018  09:52:11.100188	-3.604219E+0	9/27/2018  09:52:11.100188	-3.828544E+0
9/27/2018  09:52:11.100188	-3.561964E+0	9/27/2018  09:52:11.100188	-3.786740E+0
9/27/2018  09:52:11.100189	-3.561964E+0	9/27/2018  09:52:11.100189	-3.744937E+0
9/27/2018  09:52:11.100189	-3.519709E+0	9/27/2018  09:52:11.100189	-3.744937E+0
9/27/2018  09:52:11.100189	-3.477454E+0	9/27/2018  09:52:11.100189	-3.661329E+0
9/27/2018  09:52:11.100189	-3.435199E+0	9/27/2018  09:52:11.100189	-3.661329E+0
9/27/2018  09:52:11.100189	-3.392944E+0	9/27/2018  09:52:11.100189	-3.619526E+0
9/27/2018  09:52:11.100190	-3.392944E+0	9/27/2018  09:52:11.100190	-3.577722E+0
9/27/2018  09:52:11.100190	-3.308433E+0	9/27/2018  09:52:11.100190	-3.535918E+0
9/27/2018  09:52:11.100190	-3.308433E+0	9/27/2018  09:52:11.100190	-3.494115E+0
9/27/2018  09:52:11.100190	-3.223923E+0	9/27/2018  09:52:11.100190	-3.410507E+0
9/27/2018  09:52:11.100190	-3.223923E+0	9/27/2018  09:52:11.100190	-3.410507E+0
9/27/2018  09:52:11.100191	-3.139413E+0	9/27/2018  09:52:11.100191	-3.368704E+0
9/27/2018  09:52:11.100191	-3.097158E+0	9/27/2018  09:52:11.100191	-3.326900E+0
9/27/2018  09:52:11.100191	-3.054902E+0	9/27/2018  09:52:11.100191	-3.285096E+0
9/27/2018  09:52:11.100191	-3.054902E+0	9/27/2018  09:52:11.100191	-3.243293E+0
9/27/2018  09:52:11.100191	-2.970392E+0	9/27/2018  09:52:11.100191	-3.243293E+0
9/27/2018  09:52:11.100192	-2.970392E+0	9/27/2018  09:52:11.100192	-3.201489E+0
9/27/2018  09:52:11.100192	-2.928137E+0	9/27/2018  09:52:11.100192	-3.159685E+0
9/27/2018  09:52:11.100192	-2.885882E+0	9/27/2018  09:52:11.100192	-3.117882E+0
9/27/2018  09:52:11.100192	-2.843627E+0	9/27/2018  09:52:11.100192	-3.076078E+0
9/27/2018  09:52:11.100192	-2.801371E+0	9/27/2018  09:52:11.100192	-3.034274E+0
9/27/2018  09:52:11.100193	-2.759116E+0	9/27/2018  09:52:11.100193	-2.992471E+0
9/27/2018  09:52:11.100193	-2.716861E+0	9/27/2018  09:52:11.100193	-2.950667E+0
9/27/2018  09:52:11.100193	-2.716861E+0	9/27/2018  09:52:11.100193	-2.867060E+0
9/27/2018  09:52:11.100193	-2.632351E+0	9/27/2018  09:52:11.100193	-2.867060E+0
9/27/2018  09:52:11.100193	-2.632351E+0	9/27/2018  09:52:11.100193	-2.825256E+0
9/27/2018  09:52:11.100194	-2.547841E+0	9/27/2018  09:52:11.100194	-2.783452E+0
9/27/2018  09:52:11.100194	-2.547841E+0	9/27/2018  09:52:11.100194	-2.741649E+0
9/27/2018  09:52:11.100194	-2.505585E+0	9/27/2018  09:52:11.100194	-2.699845E+0
9/27/2018  09:52:11.100194	-2.463330E+0	9/27/2018  09:52:11.100194	-2.658041E+0
9/27/2018  09:52:11.100194	-2.378820E+0	9/27/2018  09:52:11.100194	-2.616237E+0
