Vc	Vce(Vb)						
	Vce(0V)	Vce(.5)	Vce(1)	Vce(1.5)	Vce(2)	Vce(2.5)	Vce(3)
0	0	0	0	0	0	0	0
0.25	0.253	0.252	0.08	0.058	0.048	0.041	0.037
0.5	0.503	0.502	0.111	0.079	0.066	0.058	0.052
0.75	0.753	0.752	0.138	0.094	0.079	0.069	0.063
1	1.004	1.003	0.178	0.106	0.089	0.078	0.071
1.25	1.244	1.243	0.333	0.117	0.096	0.085	0.078
1.5	1.494	1.493	0.579	0.127	0.104	0.092	0.084
1.75	1.75	1.75	0.84	0.14	0.11	0.1	0.091
2	2	2	1.08	0.15	0.11	0.1	0.09
3	3	3	2.08	0.55	0.14	0.12	0.11
4	4.01	4.01	3.08	1.52	0.19	0.14	0.12
5	5.01	5	4.07	2.49	0.88	0.17	0.16
6	6.01	6.01	5.07	3.48	1.82	0.28	0.16
7	7.01	7.01	6.06	4.45	2.77	1.18	0.2
8	8.01	8.01	7.06	5.43	3.73	2.06	0.53
9	9.02	9.02	8.03	6.39	4.68	3.02	1.45
10	10.02	10.02	9.05	7.4	5.67	3.94	2.33
