  Time                  V(C6:2)               V(C7:1)              
  0.000000000000e+000  0.000000000000e+000  0.000000000000e+000  
  1.250000000000e-007  1.570796165304e-004  1.376327797384e-004  
  2.500000000000e-007  3.141591361662e-004  2.752615488579e-004  
  4.107894897461e-007  5.162127241029e-004  4.524644256492e-004  
  7.323684692383e-007  9.203181131408e-004  8.084602681198e-004  
  1.375526428223e-006  1.728515969617e-003  1.517122068709e-003  
  2.661842346191e-006  3.344813803300e-003  2.937109068425e-003  
  4.467720031738e-006  5.613565246780e-003  4.929495352197e-003  
  8.079475402832e-006  1.014860797325e-002  8.911896414814e-003  
  1.530298614502e-005  1.920068219384e-002  1.685945694353e-002  
  2.711634063721e-005  3.391077913378e-002  2.976716442861e-002  
  3.961634063721e-005  4.927085950160e-002  4.322908608802e-002  
  4.117884063721e-005  5.117143468230e-002  4.489317228351e-002  
  4.430384063721e-005  5.495760630952e-002  4.820710937796e-002  
  5.055384063721e-005  6.246493648059e-002  5.477283880321e-002  
  5.554117584229e-005  6.838704806454e-002  5.994659796147e-002  
  6.066889190674e-005  7.440578568720e-002  6.519904164176e-002  
  6.942591094971e-005  8.450254397879e-002  7.399547956776e-002  
  8.192591094971e-005  9.846444087644e-002  8.612235395209e-002  
  9.442591094971e-005  1.118192717533e-001  9.767133981117e-002  
  1.069259109497e-004  1.244846996362e-001  1.085650578242e-001  
  1.159163894653e-004  1.331239804934e-001  1.159538992081e-001  
  1.257430496216e-004  1.420800690629e-001  1.235684362169e-001  
  1.382430496216e-004  1.526859514873e-001  1.325110833444e-001  
  1.507430496216e-004  1.623504742477e-001  1.405662467675e-001  
  1.588942947388e-004  1.681170005297e-001  1.453154823536e-001  
  1.675460281372e-004  1.737549532800e-001  1.499031797014e-001  
  1.800460281372e-004  1.809900302816e-001  1.556802725806e-001  
  1.925460281372e-004  1.871092435611e-001  1.604171715529e-001  
  2.050460281372e-004  1.920748661340e-001  1.640824271545e-001  
  2.141799392700e-004  1.949559617145e-001  1.660685428882e-001  
  2.241164627075e-004  1.973609381750e-001  1.675556616771e-001  
  2.366164627075e-004  1.992932828538e-001  1.684223810463e-001  
  2.491164627075e-004  1.999969181720e-001  1.681665072923e-001  
  2.579513015747e-004  1.997504567342e-001  1.673086563676e-001  
  2.673766555786e-004  1.988091401175e-001  1.657783066136e-001  
  2.798766555786e-004  1.964864350933e-001  1.627816818469e-001  
  2.923766555786e-004  1.929523258584e-001  1.587009039927e-001  
  3.048766555786e-004  1.882286013714e-001  1.535631621512e-001  
  3.140258255005e-004  1.840336656906e-001  1.491520184964e-001  
  3.239654006958e-004  1.787877757556e-001  1.437565406572e-001  
