  Time                  V(Q1:c)               V(C1:B)              
  0.000000000000e+000  3.367518937436e+000  0.000000000000e+000  
  1.250000000000e-007  3.367478274556e+000  7.853900888711e-006  
  2.500000000000e-007  3.367411788804e+000  1.570731731182e-005  
  5.000057220459e-007  3.367207417878e+000  3.141111842747e-005  
  1.000017166138e-006  3.366697932234e+000  6.279159598119e-005  
  2.000040054321e-006  3.365370874057e+000  1.253357304063e-004  
  4.000085830688e-006  3.362525252724e+000  2.486951106345e-004  
  8.000177383423e-006  3.357175562660e+000  4.817634407982e-004  
  1.600036048889e-005  3.349180070546e+000  8.443400618615e-004  
  2.850036048889e-005  3.347818894145e+000  9.759118207036e-004  
  4.100036048889e-005  3.359632136570e+000  5.358076706578e-004  
  5.350036048889e-005  3.375728241221e+000  -2.181653460359e-004  
  5.506286048889e-005  3.377417208291e+000  -3.127709061432e-004  
  5.545348548889e-005  3.377831341869e+000  -3.359866660065e-004  
  5.623473548889e-005  3.378630302568e+000  -3.817971659242e-004  
  5.779723548889e-005  3.379798313318e+000  -4.705506716475e-004  
  6.006621742249e-005  3.380099654672e+000  -5.911461216877e-004  
  6.185664558411e-005  3.380208022311e+000  -6.779534427974e-004  
  6.377543830872e-005  3.380310793675e+000  -7.614430301069e-004  
  6.761302375793e-005  3.380461728982e+000  -8.942080398955e-004  
  7.528819465637e-005  3.380529290936e+000  -9.998360581913e-004  
  8.778819465637e-005  3.379928792256e+000  -6.941874053248e-004  
  9.867839241028e-005  3.368869671432e+000  -8.294365437542e-005  
  1.086332263947e-004  3.354289903152e+000  5.162286491912e-004  
  1.188276233673e-004  3.346307147802e+000  9.257349681390e-004  
  1.313276233673e-004  3.347945947237e+000  9.220021203506e-004  
  1.437726917267e-004  3.361689812780e+000  3.813658103790e-004  
  1.562726917267e-004  3.377581987424e+000  -3.840002764321e-004  
  1.578351917267e-004  3.379129578950e+000  -4.726536681889e-004  
  1.609601917267e-004  3.380067335900e+000  -6.354947688790e-004  
  1.613483371735e-004  3.380095369155e+000  -6.541339472120e-004  
  1.621246280670e-004  3.380146156275e+000  -6.902343307712e-004  
  1.636772098541e-004  3.380237520733e+000  -7.574277466970e-004  
  1.667823734283e-004  3.380373826673e+000  -8.696375205696e-004  
  1.729927005768e-004  3.380485961320e+000  -9.920571146033e-004  
  1.854133548737e-004  3.380070227283e+000  -7.934799979009e-004  
  1.979133548737e-004  3.369088102679e+000  -1.307324952791e-004  
  2.092445316315e-004  3.352411696457e+000  5.487356124446e-004  
  2.207160892487e-004  3.344866365617e+000  9.639930016440e-004  
  2.332160892487e-004  3.348657472368e+000  8.696852035131e-004  
  2.457160892487e-004  3.363638451490e+000  2.659276081594e-004  
  2.582160892487e-004  3.379005211730e+000  -4.936067734446e-004  
  2.584114017487e-004  3.379180647246e+000  -5.042419810338e-004  
  2.588020267487e-004  3.379515346776e+000  -5.252829950622e-004  
  2.595832767487e-004  3.379867784467e+000  -5.664033068889e-004  
  2.607257785797e-004  3.380014020804e+000  -6.240542138603e-004  
  2.624374332428e-004  3.380136526473e+000  -7.043215566816e-004  
  2.643138828278e-004  3.380241249782e+000  -7.829337605433e-004  
  2.680667819977e-004  3.380388331111e+000  -9.066056672342e-004  
  2.755725803375e-004  3.380447242591e+000  -9.993529233045e-004  
  2.880725803375e-004  3.379703006970e+000  -6.812156419915e-004  
  3.005725803375e-004  3.365084642540e+000  3.596852349942e-005  
  3.120990695953e-004  3.349103470490e+000  6.890714446770e-004  
  3.225055637360e-004  3.344472638095e+000  9.877429665786e-004  
  3.350055637360e-004  3.350295159857e+000  8.088114670710e-004  
