DSN Contacts
Spacecraft = MMS2
Attitude = Ideal Mission Attitude
StartTime = 2021-051/03:45:00 UTC  (MMS TAI: 1624592669)
StopTime = 2021-268/11:55:00 UTC  (MMS TAI: 1624592669)
Project = System Manager Contact Analysis
Source = FDGSS OPS
FileCreationDate = Feb 17 2021 12:33:09.342 UTC
Stations = Goldstone (DS24, DS26), Canberra (DS34, DS36), Madrid (DS54, DS56, DS65)

Contact Event            Entry Epoch (UTC)        Exit Epoch (UTC)         Duration (min)           Data Rate                AOS Constraint           LOS Constraint           
DS26 --> MMS2_1          2021-051/03:45:00        2021-051/03:46:21        1.35000                  1.25 Mbps                StartTime                FieldOfView              
DS26 --> MMS2_1          2021-051/03:45:00        2021-051/03:46:21        1.35000                  2.50 Mbps                StartTime                FieldOfView              
DS24 --> MMS2_1          2021-051/03:45:00        2021-051/03:46:21        1.35000                  1.25 Mbps                StartTime                FieldOfView              
DS24 --> MMS2_1          2021-051/03:45:00        2021-051/03:46:21        1.35000                  2.50 Mbps                StartTime                FieldOfView              
DS54 --> MMS2_1          2021-051/03:45:00        2021-051/04:05:04        20.06667                 1.25 Mbps                StartTime                ForwardDataRate          
DS54 --> MMS2_1          2021-051/03:45:00        2021-051/04:05:04        20.06667                 2.50 Mbps                StartTime                ForwardDataRate          
DS26 --> MMS2_2          2021-051/03:45:00        2021-051/03:46:21        1.35000                  1.25 Mbps                StartTime                FieldOfView              
DS26 --> MMS2_2          2021-051/03:45:00        2021-051/03:46:21        1.35000                  2.50 Mbps                StartTime                FieldOfView              
DS24 --> MMS2_2          2021-051/03:45:00        2021-051/03:46:21        1.35000                  1.25 Mbps                StartTime                FieldOfView              
DS24 --> MMS2_2          2021-051/03:45:00        2021-051/03:46:21        1.35000                  2.50 Mbps                StartTime                FieldOfView              
DS56 --> MMS2_1          2021-051/03:45:29        2021-051/04:05:04        19.58333                 1.25 Mbps                Mask                     ForwardDataRate          
DS56 --> MMS2_1          2021-051/03:45:29        2021-051/04:05:04        19.58333                 2.50 Mbps                Mask                     ForwardDataRate          
DS65 --> MMS2_1          2021-051/03:46:48        2021-051/04:05:04        18.26667                 1.25 Mbps                Mask                     ForwardDataRate          
DS65 --> MMS2_1          2021-051/03:46:48        2021-051/04:05:04        18.26667                 2.50 Mbps                Mask                     ForwardDataRate          
DS54 --> MMS2_2          2021-051/03:52:05        2021-051/07:02:49        190.73333                1.25 Mbps                ForwardDataRate          ReturnDataRate           
DS54 --> MMS2_2          2021-051/03:52:05        2021-051/06:14:27        142.36667                2.50 Mbps                ForwardDataRate          ReturnDataRate           
DS56 --> MMS2_2          2021-051/03:52:05        2021-051/07:02:49        190.73333                1.25 Mbps                ForwardDataRate          ReturnDataRate           
DS56 --> MMS2_2          2021-051/03:52:05        2021-051/06:14:27        142.36667                2.50 Mbps                ForwardDataRate          ReturnDataRate           
